username,platform,label,follower_count,following_count,friends_count,posts_count,account_age_days,has_profile_photo,has_cover_photo,bio_length,username_digit_ratio,username_length,friend_request_mutuals,profile_completeness,avg_likes_per_post,posts_per_week
maya.park,twitter,real,601,140,9,513,572,0,0,122,0.0,9,28,0.6667,25.36,6.282
anikakade2,facebook,fake,22,966,28,28,1750,1,0,2,0.1,10,7,0.62,1.52,0.111
idnet6013,twitter,fake,16,1187,22,44,499,1,0,22,0.4444,9,3,0.7133,0.69,0.624
xx_3173204,twitter,fake,18,1907,8,12,26,0,1,14,0.7,10,2,0.4249,0.28,3.204
freya_rao,twitter,real,496,85,55,341,372,1,0,91,0.0,9,3,0.8333,52.02,6.425
xxdeal2954221,facebook,fake,8,796,9,50,1508,1,0,49,0.5385,13,3,0.7695,2.29,0.231
net.deal462,facebook,fake,17,1525,10,3,90,0,0,0,0.2727,11,3,0.2199,3.84,0.227
sienna_khan,twitter,real,447,155,18,4,1819,1,0,3,0.0,11,7,0.5207,5.6,0.013
promo550686,instagram,fake,7,2046,8,1,26,0,0,30,0.5455,11,1,0.2435,2.17,0.212
realid04681,facebook,fake,13,1161,50,10,45,0,0,15,0.4545,11,2,0.2584,2.21,1.495
acc.deal139,facebook,fake,14,680,42,6,50,0,0,7,0.2727,11,1,0.2304,4.95,0.859
win_tmp975,facebook,fake,3,1415,18,6,104,0,0,1,0.3,10,0,0.2433,4.82,0.435
real_5735213,facebook,fake,32,955,9,8,14,1,0,2,0.5833,12,1,0.3753,1.24,15.884
deal.acc4792,facebook,fake,5,621,64,21,163,0,1,38,0.3333,12,0,0.5759,1.0,0.922
marcoberg6,twitter,fake,16,953,3,12,1290,1,0,34,0.1,10,2,0.6188,5.24,0.063
follow_637299,instagram,fake,9,480,3,8,25,0,0,10,0.4615,13,1,0.2333,1.07,2.327
isla_moreau,facebook,real,177,229,214,48,1109,1,1,208,0.0,11,5,1.0,44.02,0.305
meera.khan,instagram,real,173,425,40,22,1070,1,0,107,0.0,10,15,0.7586,32.57,0.144
acc_430,facebook,fake,3,1314,81,1,46,0,0,22,0.4286,7,3,0.2365,5.87,0.11
promo.xx928208,facebook,fake,115,674,16,21,1185,1,1,79,0.4286,14,12,0.9186,40.75,0.124
q_promo782,facebook,fake,251,340,64,49,35,1,1,100,0.3,10,15,0.8493,9.26,9.737
id.xx9349996,instagram,fake,17,2546,6,6,45,0,1,0,0.5833,12,4,0.3777,1.64,0.89
ravi_nair,instagram,real,675,118,21,214,1035,1,1,63,0.0,9,15,0.9636,51.44,1.445
id.90367,twitter,fake,19,1690,3,6,105,0,1,14,0.625,8,2,0.4336,2.49,0.378
noahkhan90,facebook,real,376,179,661,73,1666,1,1,54,0.2,10,21,0.9448,43.54,0.305
clara_santos,instagram,real,310,221,16,61,277,1,1,117,0.0,12,9,0.9598,146.77,1.552
samirsingh,facebook,real,641,121,503,44,285,1,1,87,0.0,10,17,0.9635,25.75,1.086
jonas.weiss,instagram,real,156,189,11,320,2153,1,1,7,0.0,11,36,0.8481,89.56,1.04
rohan.singh,twitter,real,306,141,7,772,396,1,0,91,0.0,11,50,0.8333,2.08,13.655
anika_singh,twitter,real,764,223,33,5,178,1,0,3,0.0,11,5,0.4418,2.55,0.192
hugo_weiss,instagram,real,1340,375,33,230,850,1,0,95,0.0,10,11,0.8333,27.73,1.895
q_0762,twitter,fake,39,2120,5,3,65,1,0,34,0.6667,6,1,0.4476,1.8,0.363
samir.iyer98,facebook,real,31,326,234,291,545,1,1,147,0.1667,12,25,1.0,11.78,3.742
win1177380,instagram,fake,6,1198,18,24,135,0,0,12,0.7,10,1,0.3532,4.62,1.231
tmp.id0143737,twitter,fake,8,1342,1,32,817,1,0,49,0.5385,13,4,0.7354,2.15,0.273
net_37205,instagram,fake,41,3390,9,2,32,0,0,0,0.5556,9,1,0.1901,3.86,0.461
xx_real410042,instagram,fake,37,1151,5,5,18,0,0,29,0.4615,13,4,0.2573,2.72,14.104
jonas.hassan,twitter,real,2862,368,17,82,998,1,1,52,0.0,12,8,0.942,19.1,0.575
priya_iyer,twitter,real,191,264,16,20,22,1,1,108,0.0,10,3,0.7621,6.14,6.521
followdeal111,facebook,fake,47,447,20,5,12,0,0,28,0.2308,13,2,0.2489,1.5,2.725
id2134,instagram,fake,48,565,16,2,29,0,0,1,0.6667,6,1,0.1921,10.13,0.562
dev.berg,facebook,real,142,64,589,125,960,1,1,138,0.0,8,17,1.0,16.71,0.91
leilacosta1,twitter,fake,27,635,7,6,41,1,1,0,0.0909,11,2,0.5421,1.73,0.957
newpromo583,instagram,fake,14,833,9,4,21,1,0,29,0.2727,11,2,0.4201,1.17,1.298
id_0646015,instagram,fake,12,1497,19,31,1245,1,1,43,0.7,10,0,0.8862,6.8,0.175
amarabrook6,instagram,fake,84,1175,17,26,16,0,0,35,0.0909,11,0,0.3543,3.27,11.187
dev_park,facebook,real,223,244,215,705,605,1,1,101,0.0,8,7,1.0,41.58,8.157
aisha_moreau,twitter,real,1203,570,38,315,1725,0,0,77,0.0,12,21,0.6611,11.73,1.278
winxx087092,instagram,fake,9,2197,4,1,14,0,0,23,0.5455,11,1,0.2263,3.61,13.47
acc36038,twitter,fake,5,1293,4,14,1249,1,0,47,0.625,8,3,0.6562,1.08,0.078
samirsingh2,facebook,real,116,166,314,72,396,1,1,69,0.0909,11,25,0.9777,15.03,1.28
follow_305,twitter,fake,4,1042,2,22,1263,1,0,0,0.3,10,2,0.592,1.58,0.122
officialreal240385,facebook,fake,20,1136,40,6,82,0,0,37,0.3333,18,2,0.3088,0.52,0.546
siennarao8,facebook,fake,17,1364,15,5,14,0,0,41,0.1,10,2,0.2815,1.73,9.61
meeraberg,instagram,real,370,343,16,2,21,0,0,0,0.0,9,8,0.1847,12.35,0.677
promo.48232,instagram,fake,36,1799,3,22,55,1,0,40,0.4545,11,0,0.532,2.76,2.758
user.449449,twitter,fake,12,1208,10,24,1045,1,0,15,0.5455,11,3,0.6295,1.29,0.16
ninaweiss,twitter,real,66,614,3,192,3976,0,1,47,0.0,9,11,0.7652,22.83,0.338
new_431,twitter,fake,201,1962,6,90,15,1,0,79,0.4286,7,10,0.6706,31.85,11.701
amara_chen,instagram,real,1143,299,14,745,846,1,1,87,0.0,10,23,1.0,25.63,6.166
adityanair,facebook,real,280,334,439,70,273,1,1,44,0.0,10,12,0.8822,15.08,1.791
leo.kade,facebook,real,128,90,824,39,411,1,0,165,0.0,8,18,0.8288,18.48,0.663
noah.khan,facebook,real,201,195,243,155,1080,1,1,23,0.0,9,19,0.8817,13.19,1.007
leilahassan,facebook,real,53,62,463,12,22,1,1,44,0.0,11,5,0.6527,23.69,3.901
priyakhan,instagram,real,1556,317,51,165,478,1,1,65,0.0,9,26,0.9679,25.17,2.422
win.user6666,instagram,fake,21,2184,8,9,17,1,0,0,0.3333,12,2,0.3766,4.49,13.985
meera.alvarez,facebook,real,50,151,494,193,481,1,1,0,0.0,13,6,0.8333,29.32,2.802
deal_922,instagram,fake,25,1175,2,51,1340,1,1,0,0.375,8,1,0.8333,6.59,0.266
amaraweiss,twitter,real,749,417,4,394,1157,1,0,113,0.0,10,57,0.8333,34.3,2.386
user.follow34365,instagram,fake,8,1067,9,29,1061,1,0,0,0.3125,16,1,0.6225,4.49,0.194
meera_vale,facebook,real,133,154,613,52,378,1,1,159,0.0,10,17,1.0,54.52,0.963
ninakade1,facebook,fake,17,276,56,1,167,0,0,13,0.1111,9,2,0.2742,1.16,0.046
theonguyen,facebook,real,558,147,489,155,327,1,1,83,0.0,10,4,0.9826,28.81,3.319
xx.win7332,twitter,fake,39,919,6,13,4,0,1,55,0.4,10,3,0.5057,1.88,9.393
anika_iyer,twitter,real,500,165,2,2073,1478,1,0,89,0.0,10,34,0.8333,1.95,9.819
isla.moreau,facebook,real,142,91,447,64,962,1,1,115,0.0,11,7,1.0,24.21,0.466
clara_alvarez92,twitter,real,786,173,12,92,1974,1,0,69,0.1333,15,17,0.811,6.98,0.327
jonas.okoye,twitter,real,34,135,56,36,359,1,0,141,0.0,11,56,0.8147,8.74,0.706
ravi_weiss,facebook,real,47,226,162,5,1098,1,1,8,0.0,10,27,0.7029,3.08,0.029
zara.santos,instagram,real,2542,244,23,167,1148,1,1,96,0.0,11,34,1.0,25.33,1.015
elena_okoye,instagram,real,407,332,25,629,352,1,0,125,0.0,11,14,0.8274,238.44,12.507
kaisantos,instagram,real,1336,297,30,186,1736,1,1,77,0.0,9,12,0.9929,164.1,0.752
rohan.alvarez94,instagram,real,358,193,27,126,459,1,0,83,0.1333,15,17,0.8333,192.98,1.929
acc.follow602,twitter,fake,13,845,1,3,11,0,0,0,0.2308,13,1,0.1835,2.57,16.738
xx_873,facebook,fake,144,602,16,2,13,0,0,17,0.5,6,2,0.2178,2.18,1.335
aditya_chen,twitter,real,68,201,19,19,28,1,0,113,0.0,11,2,0.5917,1.46,4.736
dev.okoye,facebook,real,80,59,389,93,158,1,1,173,0.0,9,7,0.9055,14.51,4.106
freya_costa97,instagram,real,167,238,53,10,24,1,0,97,0.1538,13,6,0.5514,15.57,2.828
mayachen96,facebook,real,223,36,255,6,15,1,1,172,0.2,10,2,0.6992,18.47,2.878
felix_santos,facebook,real,355,98,317,9,611,1,1,14,0.0,12,17,0.7345,8.27,0.104
new.354,facebook,fake,33,663,17,2,18,0,0,1,0.4286,7,0,0.1845,3.51,14.746
newq9938,instagram,fake,27,1202,5,26,1610,1,0,0,0.5,8,4,0.6066,1.56,0.111
meera_rao,facebook,real,225,83,186,94,5200,1,1,116,0.0,9,28,1.0,30.68,0.127
theo.moreau,instagram,real,4720,259,49,28,385,1,1,48,0.0,11,3,0.8827,24.62,0.51
deal2518,twitter,fake,12,773,9,3,38,0,0,34,0.5,8,2,0.2667,0.98,0.539
freyasingh,facebook,real,157,240,568,20,1345,1,1,32,0.0,10,45,0.817,10.66,0.104
noahdsouza,twitter,real,275,73,13,241,372,1,1,74,0.0,10,65,0.9872,10.56,4.528
q.5894,instagram,fake,66,2165,18,2,18,1,0,0,0.6667,6,5,0.3517,11.34,0.943
elena_moreau,facebook,real,356,157,311,175,745,1,0,65,0.0,12,28,0.8025,70.01,1.645
luciamoreau1,facebook,fake,13,852,38,6,11,1,0,27,0.0833,12,1,0.4203,2.36,6.514
promo_92154,facebook,fake,361,707,25,46,31,1,1,125,0.4545,11,8,0.8475,33.95,10.495
noah.vale97,facebook,real,78,115,890,58,209,1,1,128,0.1818,11,20,0.9288,29.52,1.944
adityabrook,twitter,real,547,214,14,514,674,1,0,11,0.0,11,13,0.6898,28.81,5.34
ravi.dsouza92,twitter,real,662,165,4,47,310,1,1,158,0.1538,13,13,0.9749,16.04,1.053
net4512,instagram,fake,57,1098,15,9,35,0,0,21,0.5714,7,1,0.2661,0.64,1.893
jonas.singh99,facebook,real,228,166,243,23,348,1,0,145,0.1538,13,24,0.7552,9.55,0.465
winuser56970,instagram,fake,9,937,31,27,775,1,0,9,0.4167,12,2,0.6311,3.15,0.245
official0392,instagram,fake,117,2032,14,25,33,1,1,0,0.3333,12,0,0.6173,1.07,5.207
user.35007,instagram,fake,27,2891,7,12,1442,1,0,30,0.5,10,1,0.6114,9.61,0.058
marcohassan,facebook,real,343,57,226,73,1036,1,1,81,0.0,11,15,1.0,5.36,0.496
official.2244118,facebook,fake,40,1316,45,7,10,1,1,40,0.4375,16,1,0.6164,2.9,4.701
amara.hassan,instagram,real,1085,588,65,296,593,1,0,0,0.0,12,14,0.6667,33.83,3.492
real_485,instagram,fake,25,2532,5,1,4,0,0,31,0.375,8,2,0.2391,3.63,2.329
xx.promo339,instagram,fake,10,2041,10,10,48,0,0,13,0.2727,11,1,0.2564,1.27,1.46
meerahassan4,facebook,fake,6,262,16,8,33,0,0,1,0.0833,12,1,0.219,3.26,1.75
elena.iyer,twitter,real,178,274,43,136,1091,0,1,122,0.0,10,15,0.8333,9.26,0.876
user.promo4471048,instagram,fake,54,2402,8,2,72,1,1,4,0.4118,17,5,0.5495,3.56,0.217
net_460143,instagram,fake,41,768,2,15,4,1,0,23,0.6,10,1,0.4449,17.16,6.015
omar_kade,instagram,real,161,361,11,45,1458,1,1,130,0.0,9,11,1.0,109.6,0.217
real_1048670,facebook,fake,13,786,8,1,27,0,0,18,0.5833,12,1,0.2233,4.38,0.382
aditya_dsouza,instagram,real,2426,100,22,67,177,1,1,88,0.0,13,20,0.9142,50.07,2.655
rohan_brook,facebook,real,245,96,335,109,786,1,1,114,0.0,11,23,1.0,20.11,0.968
userdeal73663,facebook,fake,6,695,50,1,44,1,0,0,0.3846,13,1,0.3588,1.62,0.203
promoacc811,instagram,fake,35,768,5,1,54,1,0,47,0.2727,11,3,0.4604,2.82,0.152
user.105,twitter,fake,253,1548,2,56,71,1,0,38,0.375,8,10,0.6117,18.97,5.519
anika_berg,facebook,real,50,207,1886,23,6,1,0,133,0.0,10,6,0.5984,7.16,26.773
q.07680,instagram,fake,2,2530,7,6,164,0,0,51,0.7143,7,7,0.3736,2.23,0.264
clara.hassan,instagram,real,907,318,30,43,1430,1,0,74,0.0,12,48,0.8207,66.73,0.211
omarokoye,facebook,real,829,132,129,64,693,1,1,68,0.0,9,38,0.9756,5.41,0.642
rohandsouza5,instagram,fake,415,1207,9,34,527,1,0,47,0.0833,12,9,0.7388,24.69,0.449
rohan_santos94,instagram,real,1585,177,8,38,1279,1,1,0,0.1429,14,19,0.8244,78.32,0.207
theorao,facebook,real,79,213,436,114,2891,1,1,13,0.0,7,18,0.8601,34.65,0.277
anikavale,facebook,real,494,52,249,40,343,1,1,92,0.0,9,20,0.99,4.16,0.82
win.official145,facebook,fake,5,643,13,3,8,1,0,35,0.2,15,1,0.4226,7.2,5.672
jonas_berg,facebook,real,184,99,902,234,196,1,1,76,0.0,10,5,0.9144,31.69,8.343
win_user9682922,instagram,fake,45,1276,10,1,4,1,0,23,0.4667,15,2,0.3862,17.52,1.47
dev.hassan,facebook,real,672,84,334,145,1202,1,1,64,0.0,10,25,0.9657,62.09,0.843
meera_santos,twitter,real,14,95,43,477,582,1,0,105,0.0,12,48,0.8333,4.6,5.735
official.win516,facebook,fake,27,970,12,1,55,1,0,0,0.2,15,1,0.3616,5.38,0.097
meeranair,instagram,real,455,603,76,109,641,1,0,111,0.0,9,9,0.8333,96.6,1.187
hugoiyer,facebook,real,363,449,300,63,422,1,1,158,0.0,8,18,1.0,12.19,1.039
real_753487,facebook,fake,518,277,14,36,28,1,0,121,0.5455,11,14,0.6638,33.72,9.062
amaranair6,twitter,fake,4,479,5,16,10,0,0,30,0.1,10,1,0.2995,1.83,10.927
deal03569,facebook,fake,8,1977,11,1,30,0,0,34,0.5556,9,1,0.2559,1.57,0.267
dev.brook,facebook,real,1008,99,613,20,48,1,1,56,0.0,9,1,0.7206,7.71,2.851
jonas_singh,facebook,real,45,66,303,69,602,1,1,47,0.0,11,11,0.9312,33.78,0.804
samirnair,instagram,real,1422,389,38,1131,2359,1,1,106,0.0,9,19,1.0,24.78,3.355
ravi.vale,twitter,real,182,316,13,305,360,1,0,42,0.0,9,25,0.7516,4.34,5.927
newxx4198559,twitter,fake,20,1683,6,41,850,1,0,0,0.5833,12,1,0.6674,2.01,0.337
theosingh,facebook,real,259,170,1361,247,692,1,1,101,0.0,9,15,1.0,10.54,2.502
freya.alvarez,instagram,real,552,225,28,219,1436,1,1,76,0.0,13,13,0.9919,76.6,1.069
samir_brook,twitter,real,383,231,127,16,877,1,0,21,0.0,11,31,0.6096,0.61,0.127
user.42523,instagram,fake,45,664,6,4,26,0,1,17,0.5,10,1,0.3954,2.29,0.949
raviokoye,instagram,real,372,200,44,86,1255,1,0,78,0.0,9,41,0.8288,34.34,0.478
officialnew5420,facebook,fake,3,378,33,11,7,0,0,31,0.2667,15,2,0.2789,1.24,10.627
ninacosta,facebook,real,97,227,242,37,871,1,1,12,0.0,9,5,0.8468,15.97,0.3
new_3753,instagram,fake,4,1434,6,1,13,0,0,24,0.5,8,1,0.2274,3.91,15.43
xxdeal299,instagram,fake,80,2561,7,47,869,1,0,29,0.3333,9,0,0.7267,5.17,0.376
q4332,instagram,fake,23,1431,7,16,8,0,0,27,0.8,5,2,0.2915,0.67,6.524
user.win7412738,instagram,fake,29,1264,7,7,9,1,0,49,0.4667,15,1,0.4682,6.91,5.697
zararao7,facebook,fake,37,2106,96,4,5,1,0,40,0.125,8,1,0.4342,3.56,5.188
zaraweiss3,instagram,fake,23,1993,21,15,22,0,0,42,0.1,10,3,0.3282,1.22,4.834
theobrook6,facebook,fake,45,808,37,36,1658,1,0,26,0.1,10,4,0.7048,3.98,0.152
jonas_costa,facebook,real,46,129,655,59,1724,1,1,0,0.0,11,35,0.8333,59.37,0.239
rohankhan,facebook,real,67,125,115,7,636,1,1,83,0.0,9,8,0.8626,17.62,0.077
jonaskade,twitter,real,177,355,14,14,41,1,1,92,0.0,9,6,0.7451,2.89,2.447
zara_costa,instagram,real,328,540,32,289,841,1,0,64,0.0,10,5,0.8002,61.1,2.404
acc.199782,twitter,fake,13,1553,4,6,24,0,0,26,0.6,10,2,0.2582,2.77,1.832
new_tmp250444,facebook,fake,6,695,42,32,499,1,0,24,0.4615,13,1,0.6825,0.85,0.447
follow01904,instagram,fake,6,1328,8,8,9,0,0,34,0.4545,11,1,0.273,2.92,5.892
aisha.brook,facebook,real,191,255,199,51,1717,1,1,18,0.0,11,12,0.8716,14.11,0.209
leila_brook92,instagram,real,122,608,27,292,408,1,1,93,0.1538,13,15,1.0,22.6,5.01
anika.singh,facebook,real,1281,134,299,63,2385,1,1,125,0.0,11,21,1.0,9.29,0.186
net137565,facebook,fake,330,784,14,16,16,1,0,136,0.6667,9,15,0.5749,24.33,7.101
kai.alvarez,instagram,real,1840,338,25,154,2259,1,0,84,0.0,11,12,0.8333,45.24,0.476
promo1981,facebook,fake,150,462,18,72,8,1,1,142,0.4444,9,9,0.837,28.17,14.17
meera_chen,facebook,real,868,143,561,14,128,1,1,16,0.0,10,38,0.6516,3.35,0.792
priya_rao,facebook,real,473,145,300,64,734,1,1,44,0.0,9,11,0.9243,7.55,0.608
mayaiyer,instagram,real,8555,271,39,15,27,1,0,113,0.0,8,3,0.5749,10.36,3.896
freyapark,facebook,real,1448,122,262,70,858,1,1,118,0.0,9,8,1.0,23.27,0.572
kaiokoye,twitter,real,164,279,9,11,840,1,0,10,0.0,8,173,0.5685,0.59,0.094
adityahassan,instagram,real,481,124,46,150,855,1,0,143,0.0,12,12,0.8333,131.91,1.225
jonas.vale,instagram,real,1965,229,20,51,196,1,1,50,0.0,10,7,0.8598,10.86,1.828
noah_vale,instagram,real,16978,616,4,195,1007,1,0,101,0.0,9,47,0.8333,347.66,1.355
officialid3362666,instagram,fake,487,1214,3,79,40,1,1,55,0.4118,17,5,0.8002,23.28,13.855
noah_nguyen,facebook,real,279,109,443,61,362,1,1,0,0.0,11,9,0.832,33.7,1.179
theohassan1,instagram,fake,12,1457,5,1,29,0,1,27,0.0909,11,2,0.4095,3.53,0.327
clara_chen,twitter,real,202,290,14,71,689,1,1,120,0.0,10,3,1.0,9.08,0.718
devberg,instagram,real,863,139,85,9,934,1,0,21,0.0,7,24,0.5828,8.07,0.07
user_6722706,twitter,fake,32,671,2,5,102,0,0,26,0.5833,12,1,0.2886,2.18,0.341
maya.iyer,facebook,real,345,400,406,59,254,1,1,117,0.0,9,11,0.9493,12.15,1.625
samirpark4,facebook,fake,4,551,36,15,4,0,0,0,0.1,10,3,0.2314,2.07,16.817
omarnair,facebook,real,127,193,311,87,421,1,0,73,0.0,8,23,0.8197,17.65,1.452
felix_iyer,instagram,real,74,275,36,66,416,1,0,115,0.0,10,9,0.8333,356.79,1.108
elena_costa94,facebook,real,108,116,786,151,843,1,1,209,0.1538,13,57,1.0,23.89,1.25
theonguyen2,facebook,real,159,273,339,58,695,1,1,134,0.0909,11,4,1.0,41.15,0.583
kaiokoye2,twitter,real,864,42,6,1101,946,1,0,129,0.1111,9,8,0.8333,16.47,8.148
amara.kade,facebook,real,84,151,325,60,746,1,1,18,0.0,10,24,0.8708,6.7,0.567
luciakhan,facebook,real,427,65,124,225,507,1,1,87,0.0,9,16,1.0,13.77,3.111
claraalvarez6,facebook,fake,5,267,7,1,39,0,0,38,0.0769,13,5,0.2702,3.5,0.261
dealwin59949,instagram,fake,30,453,10,4,19,0,0,21,0.4167,12,2,0.235,5.43,9.669
clara.hassan2,facebook,real,100,202,193,165,320,1,1,44,0.0769,13,24,0.9043,12.86,3.6
official.1007750,instagram,fake,26,972,5,4,22,1,1,36,0.4375,16,4,0.6025,2.9,1.381
priya_alvarez,facebook,real,41,244,429,7,46,1,1,13,0.0,13,1,0.5779,4.17,1.118
dev_santos,twitter,real,142,418,18,38,1551,1,0,33,0.0,10,17,0.7261,8.01,0.17
tmp_126,twitter,fake,6,888,3,18,40,0,0,37,0.4286,7,0,0.3366,1.07,3.175
bot_2413,instagram,fake,25,1484,5,4,30,1,1,0,0.5,8,1,0.531,7.54,0.967
net_194,instagram,fake,7,690,6,4,89,1,0,35,0.4286,7,1,0.4626,4.65,0.307
leilacosta,twitter,real,39,130,15,19,38,1,1,104,0.0,10,5,0.7639,0.38,3.531
marco_brook,facebook,real,194,121,240,108,745,1,1,156,0.0,11,21,1.0,48.78,1.016
jonas.weiss2,instagram,real,4444,186,32,62,2287,1,0,134,0.0833,12,22,0.8333,43.29,0.19
siennaweiss,twitter,real,111,621,15,19,428,1,0,141,0.0,11,6,0.7443,8.91,0.305
promoofficial1749917,facebook,fake,7,3094,18,6,23,0,0,30,0.35,20,1,0.1571,0.94,1.814
xx5862,twitter,fake,6,1681,7,7,5,0,1,22,0.6667,6,4,0.4102,0.6,9.107
aisha_okoye,facebook,real,71,206,993,233,362,1,0,142,0.0,11,12,0.832,51.86,4.508
lucia_iyer90,facebook,real,749,151,186,5,20,1,0,221,0.1667,12,2,0.5295,5.24,1.708
xx9169,facebook,fake,24,532,20,2,59,0,0,35,0.6667,6,1,0.2752,2.04,0.229
acc_06826,twitter,fake,3,2359,5,8,16,0,0,7,0.5556,9,1,0.2218,1.12,3.481
lucia_berg,twitter,real,505,423,16,200,753,1,0,0,0.0,10,19,0.6667,13.6,1.856
new.user5837220,instagram,fake,45,729,16,2,79,0,0,18,0.4667,15,6,0.2493,2.05,0.178
net.acc526677,instagram,fake,13,2013,4,6,26,0,0,8,0.4615,13,1,0.2196,0.61,1.63
omarkade,facebook,real,207,194,515,22,562,1,1,52,0.0,8,7,0.8675,15.31,0.278
marco.moreau,instagram,real,1387,193,32,13,597,1,0,72,0.0,12,3,0.7036,5.01,0.151
isla.kade,facebook,real,109,184,317,18,8,1,1,80,0.0,9,3,0.7463,7.21,15.949
acc_q915689,facebook,fake,37,812,8,5,25,1,0,58,0.5455,11,2,0.4869,0.42,1.395
ravimoreau6,instagram,fake,36,892,8,1,6,1,0,28,0.0909,11,1,0.3982,2.45,17.515
lucianguyen,instagram,real,999,315,50,8,18,1,1,114,0.0,11,3,0.7096,25.66,3.241
bot.win0280,twitter,fake,4,2064,0,8,24,0,0,32,0.3636,11,3,0.2757,0.96,2.211
elena.rao,facebook,real,39,90,436,1,22,0,1,14,0.0,9,2,0.3759,1.85,0.232
lucia_berg2,instagram,real,623,532,70,56,394,1,1,39,0.0909,11,11,0.9137,54.35,1.002
aishanair,instagram,real,721,178,22,141,790,1,0,8,0.0,9,6,0.6833,53.76,1.245
new645416,facebook,fake,508,613,8,34,45,1,1,138,0.6667,9,11,0.83,10.12,5.33
zara.brook,facebook,real,307,93,577,53,1492,1,1,123,0.0,10,8,1.0,12.44,0.248
zarahassan,twitter,real,339,169,27,12,213,1,0,24,0.0,10,12,0.5303,2.92,0.392
